4
3
3
0
3445 3445
500 407.85 0
2 -1781 376 0
2 -1749 376 0
2 -1717 376 0
2 -1685 376 0
1 -2581 408 0
3 2219 440 0
2 -1813 472 0
2 -1653 472 0
2 -1813 504 0
5 -1781 514 0
2 -1653 504 0
2 -1813 536 0
2 -1653 536 0

e 1419 0
e 1899 0
e 2379 0
e 2635 0
C -3061 56
C -3253 88
C -2997 120
f -2869 312
f -2837 312
f -2805 312
f -2485 344
f -3381 504
f -3349 504
f -3317 504
< -1045 312
N -1013 312
N -981 312
N -949 312
N -917 312
N -885 312
> -853 312
< -2869 344
N -2837 344
> -2805 344
! -1013 344
N 235 344
! -2837 376
< -2517 376
N -2485 376
> -2453 376
< -1301 376
N -1269 376
N -1237 376
N -1205 376
N -1173 376
N -1141 376
N -1109 376
> -1077 376
! -1013 376
! 235 376
K -2997 408
! -2837 408
! -2485 408
! -1173 408
! -1013 408
! 235 408
! -2837 440
! -2485 440
< -2037 440
N -2005 440
N -1973 440
> -1941 440
! -1173 440
! -1013 440
< -693 440
N -661 440
N -629 440
N -597 440
N -565 440
N -533 440
> -501 440
! 235 440
< 459 440
> 491 440
K -3189 472
! -2965 472
! -2837 472
! -2485 472
! -2005 472
< -1493 472
N -1461 472
> -1429 472
! -1173 472
! -1013 472
! -597 472
! 235 472
! 459 472
< 683 472
N 715 472
N 747 472
N 779 472
N 811 472
N 843 472
> 875 472
! -2965 504
! -2837 504
! -2485 504
! -2005 504
! -1461 504
! -1173 504
! -1013 504
! -597 504
N -309 504
N -85 504
! 235 504
! 459 504
! 779 504
< -3445 536
N -3413 536
N -3381 536
N -3349 536
N -3317 536
N -3285 536
> -3253 536
! -3157 536
! -2965 536
! -2837 536
< -2613 536
N -2581 536
> -2549 536
! -2485 536
! -2005 536
! -1461 536
! -1173 536
! -1013 536
! -597 536
! -309 536
! -85 536
! 235 536
! 459 536
! 779 536
< 1099 536
> 1131 536
! -3413 568
! -3317 568
! -3157 568
! -2965 568
! -2837 568
! -2581 568
! -2485 568
< -2325 568
> -2293 568
! -2005 568
< -1813 568
N -1781 568
N -1749 568
N -1717 568
N -1685 568
N -1653 568
> -1621 568
! -1461 568
! -1173 568
! -1013 568
! -597 568
! -309 568
! -85 568
! 235 568
! 459 568
! 779 568
! 1099 568
# 1387 568
# 1419 568
# 1451 568
# 1483 568
# 1515 568
# 1547 568
# 1579 568
# 1611 568
# 1643 568
# 1675 568
# 1707 568
# 1739 568
# 1771 568
# 1803 568
# 1835 568
# 1867 568
# 1899 568
# 1931 568
# 1963 568
# 1995 568
# 2027 568
# 2059 568
# 2091 568
# 2123 568
# 2155 568
# 2187 568
# 2219 568
# 2251 568
# 2283 568
# 2315 568
# 2347 568
# 2379 568
# 2411 568
# 2443 568
# 2475 568
# 2507 568
# 2539 568
# 2571 568
# 2603 568
# 2635 568
# 2667 568
# 2699 568
# 2731 568
# 2763 568
# 2795 568
# 2827 568
# 2859 568
# 2891 568
# 2923 568
! -3413 600
! -3317 600
! -3157 600
! -2965 600
! -2837 600
! -2581 600
! -2485 600
! -2325 600
! -2005 600
! -1717 600
! -1461 600
! -1173 600
! -1013 600
! -597 600
! -309 600
! -85 600
! 235 600
! 459 600
! 779 600
! 1099 600
